Problem,Greedy,BruteForce,Branch&Bound,Dynamic,Dynamic_ortools,Integer_ortools
500_50_2_4_5,0,11.4210968,10.01495934,10.03058076,1.046785116,0.046997309
500_50_2_5_5,0,11.57733536,10.0088098,10.04618573,1.703006268,0.041944265
500_50_3_1_5,0,11.24923277,10.0149219,8.905645847,0.20313096,0.034002542
500_50_3_2_5,0,11.2336092,10.00443411,10.07743144,0.546820402,0.123999357
500_50_3_3_5,0.015623331,11.45233727,10.00593114,10.0461905,1.015553474,0.075000048
500_50_3_4_5,0.001996994,10.6711514,10.0136807,10.06181216,1.531148195,0.036944151
500_50_3_5_5,0,11.21798515,10.01492095,10.03056645,2.187347889,0.036002636
500_50_4_1_5,0,11.81939316,10.01493621,7.774601221,0.015623569,0.038965702
500_50_4_2_5,0,10.87425852,10.01488161,16.32701278,0.09374094,0.105000019
500_50_4_3_5,0,11.5617137,10.01493907,19.45179892,0.249980927,0.058020115
500_50_4_4_5,0,11.1085608,10.00353622,17.65504742,0.640583515,0.056999445
500_50_4_5_5,0,11.4210937,10.00279951,16.56136465,1.203039885,0.039013624
500_100_1_1_5,0,11.24923658,10.00368953,10.15555525,0.281228781,0.088998318
500_100_1_2_5,0,11.43671966,10.00387263,10.06181693,0.843694448,0.07799983
500_100_1_3_5,0,11.26485586,10.00086331,10.04619193,1.484274626,0.052000284
500_100_1_4_5,0,10.78051662,10.00179863,10.04618764,2.484203815,0.079998255
500_100_1_5_5,0.001996517,11.17111301,10.00777578,10.04618645,3.780990362,0.053983927
500_100_2_1_5,0,12.03039742,10.00543261,10.15555811,0.203105211,0.051000357
500_100_2_2_5,0,10.90550852,10.0004909,10.04619288,0.624974966,0.047999382
500_100_2_3_5,0,11.57733464,10.0033257,10.06181359,1.249915123,0.081999302
500_100_2_4_5,0,11.21794939,10.00800633,10.06182957,1.96859622,0.047949553
500_100_2_5_5,0,11.34297681,10.00101185,10.04617429,3.124789715,0.071969509
500_100_3_1_5,0,11.12422705,10.01823521,10.14897203,0.34374094,0.031948566
500_100_3_2_5,0.015604734,11.35213065,10.00359106,10.08710432,0.999928713,0.034968615
500_100_3_3_5,0,11.34297848,10.01309037,10.04619408,1.859232903,0.038000107
500_100_3_4_5,0,10.71802187,10.01241302,10.06182981,2.874801874,0.062000513
500_100_3_5_5,0,11.21797109,10.00266647,10.04619074,4.109089136,0.035959959
500_100_4_1_5,0.000998497,11.87413454,10.00406647,15.62394929,0.031247377,0.053998232
500_100_4_2_5,0.001997471,10.92112803,10.00680089,24.99827576,0.187489986,0.037999868
500_100_4_3_5,0,11.5617137,10.03625989,10.28054857,0.515589952,0.059000015
500_100_4_4_5,0.015644312,11.17111397,10.00375366,10.23367691,1.281158209,0.05205965
500_100_4_5_5,0,11.34297752,10.00947118,10.09307623,2.437353134,0.037000656
500_500_1_1_5,0,11.21798539,10.00587702,10.13991761,1.39051342,0.096966028
500_500_1_2_5,0,11.45232773,10.00478745,10.18680167,4.03097558,0.085999727
500_500_1_3_5,0,11.24923611,10.0155201,10.13993406,7.733828545,0.10900116
500_500_1_4_5,0,10.82738876,10.00557899,10.15556002,11.9991827,0.074961662
500_500_1_5_5,0,11.28048515,10.01248026,10.17119527,18.60122228,0.052015305
500_500_2_1_5,0.000998735,11.81169939,10.0100131,10.12429047,1.028203011,0.143999815
500_500_2_2_5,0.000999689,10.76488876,10.00625706,10.16320801,3.319893122,0.076999664
500_500_2_3_5,0,11.67104959,10.00775218,10.13992929,6.679589033,0.159998655
500_500_2_4_5,0,11.09297848,10.00254273,10.13993216,9.999332666,0.148035049
500_500_2_5_5,0,11.42109632,10.00256157,10.15556097,15.67078686,0.115014791
500_500_3_1_5,0,11.07736921,10.00415897,10.15555882,1.749880791,0.423000097
500_500_3_2_5,0.015604496,11.48358035,10.00999928,10.13993335,4.765322208,0.088999033
500_500_3_3_5,0,11.26482725,10.0065496,10.13994956,9.093127966,0.281014204
500_500_3_4_5,0,10.78051591,10.01390457,10.13991714,13.57719946,0.048999071
500_500_3_5_5,0,11.17111158,10.00248337,10.13993096,19.76426053,0.247000694
500_500_4_1_5,0,11.74919748,10.01143289,10.20243335,0.124991894,0.051002264
500_500_4_2_5,0,10.843009,10.01489234,10.13993359,0.937435865,0.040962458
500_500_4_3_5,0.00199914,11.49921584,10.00449634,10.1399498,2.593574047,0.043017387
500_500_4_4_5,0,11.21795416,10.00763202,10.13993192,6.672151566,0.056999683
500_500_4_5_5,0,11.26480007,10.00060916,10.15557766,13.03850961,0.058001757
500_1000_1_1_5,0,11.15548849,10.00157332,10.45243073,2.718564034,0.098000288
500_1000_1_2_5,0,11.51483655,10.00472784,10.26490712,8.336809397,0.080965042
500_1000_1_3_5,0,11.43012285,10.25666261,10.28054881,14.96848488,0.073000431
500_1000_1_4_5,0,10.8898797,10.00265551,10.28054309,24.38348985,0.0989995
500_1000_1_5_5,0,11.23361039,10.00157738,10.27397823,36.54440045,0.063969851
500_1000_2_1_5,0,11.93668485,10.02598524,10.38991427,2.031108856,0.10198164
500_1000_2_2_5,0,10.78051734,10.00558519,10.26492739,6.093318224,0.063996315
500_1000_2_3_5,0.01560545,11.57727551,10.00360322,10.2649281,11.63982916,0.225986719
500_1000_2_4_5,0.001998425,11.06172609,10.0048759,10.28054881,20.96731949,0.24696207
500_1000_2_5_5,0.000998735,11.35860014,10.00300384,10.26492214,31.05472541,0.095030308
500_1000_3_1_5,0,11.10858583,10.00794888,10.26492882,3.390373707,0.168962479
500_1000_3_2_5,0,11.40547299,10.00243258,10.24929976,9.811833382,0.150998116
500_1000_3_3_5,0,11.20236301,10.00751519,10.26492858,18.51436353,0.108999729
500_1000_3_4_5,0,10.88988495,10.00179243,10.26492548,27.23972487,0.233999014
500_1000_3_5_5,0,11.13986897,10.00598097,10.28054833,39.16918778,0.223014832
500_1000_4_1_5,0,11.71795106,10.0190444,10.24928117,0.234357119,0.052999973
500_1000_4_2_5,0,10.90550566,10.00496531,10.26492405,1.749881506,0.056999683
500_1000_4_3_5,0.015609026,11.78045297,10.00195765,10.26492548,5.296513557,0.076999664
500_1000_4_4_5,0.000999212,11.32088804,10.00232601,10.28055191,13.15535069,0.062999725
500_1000_4_5_5,0,11.39445519,10.0061543,10.28054953,24.68583727,0.045011282
